PUID,sg,trawl,sewage,farms,settle
1,0,0,0,0,2.58E+01
2,0.05,0,0,0,347
3,0,0,0,0,347
4,0.05,0,0,0,347
5,0.05,0,0,0,347
6,0,0,0,0,2.53E+01
7,0,0,0,0,2.14E-14
8,0,0,0,0,1.67E-07
9,0.05,0,0,0,309
10,0.05,0,0,0,309
11,0,0,0,0,417
12,0.05,0,0,0,2.69E-02
13,0,0,0,0,1.45E-30
14,0,0,0,0,8.81E-11
15,0.05,0,0,0,2.88E-06
16,0.05,0,0,0,8.86E-10
17,0.15,0,0,0,2.89E-11
18,0.05,0,0,0,440
19,0,0,0,0,9.62E+00
20,0,0,0,0,8.31E-03
21,0,0,0,0,3.39E-02
22,0,0,0,0,4.00E-03
23,0,0,0,0,7.74E-11
24,0,0,0,0,4.09E-07
25,0,0,0,0,362
26,0,0,0,0,362
27,0,0,0,0,362
28,0,0,0,0,362
29,0,0,0,0,217
30,0,0,0,0,217
31,0.05,0,0,0,217
32,0.05,0,0,0,217
33,0,0,0,0,2.34E-13
34,0,0,0,0,2.82E-46
35,0.05,0,0,0,1.46E-24
36,0.05,0,0,0,7.58E-03
37,0.05,0,0,0,407
38,0,0,0,0,1.04E-05
39,0,0,0,0,2.19E+01
40,0,0,0,0,347
41,0,0,0,0,145.1169226
42,0,0,0,0,5.93E+00
43,0,0,0,0,8.74E-06
44,0.05,0,0,0,309
45,0,0,0,0,347
46,0,0,0,0,347
47,0,0,0,0,347
48,0.05,0,0,0,68
49,0.05,0,0,0,157
50,0.05,0,0,0,157
51,0.05,0,0,0,417
52,0.05,0,0,0,417
53,0,0,0,0,6.43E-04
54,0,0,0,0,2.53E-46
55,0,0,0,0,1.26E-24
56,0.05,0,0,0,6.30E-03
57,0.05,0,0,0,407
58,0.05,0,0,0,309
59,0,0,0,0,309
60,0,0,0,0,417
61,0.05,0,0,0,417
62,0,0,0,0,7.26E-01
63,0,0,0,0,407
64,0,0,0,0,417
65,0,0,0,0,417
66,0,0,0,0,417
67,0,0,0,0,217
68,0,0,0,0,217
69,0,0,0,0,8.72E+00
70,0,0,0,0,3.07E-39
71,0,0,0,0,9.51E-26
72,0.05,0,0,0,9.61E-23
73,0.15,0,0,0,5.37E-14
74,0.15,0,0,0,407
75,0,0,0,0,407
76,0,0,0,0,217
77,0,0,0,0,217
78,0,0,0,0,217
79,0,0,0,0,217
80,0,0,0,0,217
81,0,0,0,0,217
82,0,0,0,0,5.93E-29
83,0,0,0,0,5.12E-09
84,0.05,0,0,0,4.98E-01
85,0.05,0,0,0,9.10E-03
86,0.15,0,0,0,1.42E+01
87,0.05,0,0,0,440
