PUID,sg,trawl,sewage,farms,settle
1,0,0,0,0,1.914133002
2,0.05,0,0,0,347
3,0,0,0,0,347
4,0.05,0,0,0,347
5,0.05,0,0,0,347
6,0,0,0,0,1.843753604
7,0,0,0,0,1.13E-30
8,0,0,0,0,6.87E-17
9,0.05,0,0,0,309
10,0.05,0,0,0,309
11,0,0,0,0,417
12,0.05,0,0,0,1.73E-06
13,0,0,0,0,5.16E-63
14,0,0,0,0,1.91E-23
15,0.05,0,0,0,2.04E-14
16,0.05,0,0,0,1.93E-21
17,0.15,0,0,0,1.90E-24
18,0.05,0,0,0,440
19,0,0,0,0,0.02349095
20,0,0,0,0,1.75E-08
21,0,0,0,0,2.91E-07
22,0,0,0,0,4.05E-09
23,0,0,0,0,1.65E-23
24,0,0,0,0,4.61E-16
25,0,0,0,0,362
26,0,0,0,0,362
27,0,0,0,0,362
28,0,0,0,0,362
29,0,0,0,0,217
30,0,0,0,0,217
31,0.05,0,0,0,217
32,0.05,0,0,0,217
33,0,0,0,0,2.52E-28
34,0,0,0,0,1.95E-94
35,0.05,0,0,0,5.25E-51
36,0.05,0,0,0,1.41E-07
37,0.05,0,0,0,407
38,0,0,0,0,3.12E-13
39,0,0,0,0,1.387959635
40,0,0,0,0,347
41,0,0,0,0,60.68853375
42,0,0,0,0,0.101204639
43,0,0,0,0,2.47E-13
44,0.05,0,0,0,309
45,0,0,0,0,347
46,0,0,0,0,347
47,0,0,0,0,347
48,0.05,0,0,0,68
49,0.05,0,0,0,157
50,0.05,0,0,0,157
51,0.05,0,0,0,417
52,0.05,0,0,0,417
53,0,0,0,0,9.93E-10
54,0,0,0,0,1.58E-94
55,0,0,0,0,3.92E-51
56,0.05,0,0,0,9.76E-08
57,0.05,0,0,0,407
58,0.05,0,0,0,309
59,0,0,0,0,309
60,0,0,0,0,417
61,0.05,0,0,0,417
62,0,0,0,0,0.001263235
63,0,0,0,0,407
64,0,0,0,0,417
65,0,0,0,0,417
66,0,0,0,0,417
67,0,0,0,0,217
68,0,0,0,0,217
69,0,0,0,0,0.350554114
70,0,0,0,0,2.32E-80
71,0,0,0,0,2.22E-53
72,0.05,0,0,0,2.27E-47
73,0.15,0,0,0,7.08E-30
74,0.15,0,0,0,407
75,0,0,0,0,407
76,0,0,0,0,217
77,0,0,0,0,217
78,0,0,0,0,217
79,0,0,0,0,217
80,0,0,0,0,217
81,0,0,0,0,217
82,0,0,0,0,8.63E-60
83,0,0,0,0,6.45E-20
84,0.05,0,0,0,0.000610302
85,0.05,0,0,0,2.03E-07
86,0.15,0,0,0,0.496588422
87,0.05,0,0,0,440
88,0,0,0,0,217
89,0.05,0,0,0,217
90,0.05,0,0,0,1.01E-06
91,0,0,0,0,1.14E-32
92,0,0,0,0,5.04E-58
93,0,0,0,0,1.35E-14
94,0.05,0,0,0,407
95,0.05,0,0,0,2.28E-05
96,0.15,0,0,0,2.09E-21
97,0.05,0,0,0,440
98,0,0,0,0,250
99,0,0,0,0,202
100,0,0,0,0,134
101,0,0,0,0,134
102,0.05,0,0,0,49
103,0,1,0,0,2.58E-05
104,0,3,0,0,4.27E-15
105,0,4,0,0,2.38E-28
106,0,8,0,0,1.50E-32
107,0,0,0,0,250
108,0,0,0,0,362
109,0,0,0,0,217
110,0.05,0,0,0,217
111,0,0,0,0,2.28E-34
112,0,0,1,0,3940
113,0,0,0,0,3940
114,0,0,0,0,3940
115,0,0,0,0,250
116,0,0,0,0,250
117,0,0,0,0,250
118,0,0,0,0,250
119,0,0,0,0,6.71E-18
120,0,0,0,0,362
121,0,0,0,0,362
122,0,0,0,0,217
123,0,0,0,0,9.30E-28
124,0,1,0,0,3.16E-83
125,0,0,0,0,3.54E-83
126,0,0,0,0,6.98E-86
127,0,0,0,0,5.04E-57
128,0,0,0,0,1.68E-32
129,0,0,0,0,5.57E-32
130,0,0,0,0,2.18E-42
131,0,0,0,0,1.83E-24
132,0,0,0,0,3.46E-11
133,0,0,0,0,6.08E-13
134,0,0,0,0,2.91E-43
135,0,0,0,0,1.13E-31
136,0,0,0,0,1.23E-21
137,0,0,0,0,123
138,0,0,0,1,362
139,0,0,0,0,362
140,0,0,0,0,362
141,0,0,0,0,362
142,0,0,0,0,167
143,0.05,0,0,0,6.59E-14
144,0.05,0,0,0,1.10E-32
145,0,0,0,0,2.50E-37
146,0,0,0,0,1.23E-38
147,0,1,0,0,8.49E-85
148,0,0,0,0,6.49E-61
149,0.05,0,0,0,7.59E-58
150,0.05,0,0,0,1.18E-61
151,0.05,0,0,0,1.41E-26
152,0.15,0,0,0,5.06E-06
153,0.15,0,0,0,1.67E-05
154,0.15,0,0,0,0.000785866
155,0.15,0,0,0,0.001029323
156,0,0,0,0,3940
157,0,1,0,0,5.83E-60
158,0.35,1,0,0,7.59E-40
159,0.05,1,0,0,9.51E-40
160,0,0,0,0,8.54E-49
161,0,0,0,0,1.55E-27
162,0.05,0,0,0,9522
163,0.15,0,0,0,9522
164,0.05,0,0,0,2.37E-06
165,0.05,0,0,0,9522
166,0.05,0,0,0,9522
167,0,0,0,0,9522
168,0,0,0,0,5.26E-05
169,0,0,0,0,263
170,0,0,0,0,263
171,0,0,0,0,263
172,0,0,0,0,362
173,0,0,0,0,167
174,0,0,0,0,167
175,0.05,0,0,0,1.27E-07
176,0,0,0,0,4.72E-51
177,0.05,0,0,0,2.66E-17
178,0.05,0,0,0,1.46E-25
179,0,0,0,0,5.93E-57
180,0,2,0,0,6.55E-100
181,0,1,0,0,9.63E-71
182,0,1,0,0,2.41E-34
183,0.35,0,0,0,144.891121
184,0.15,0,0,0,9522
185,0.05,0,0,0,2.29E-05
186,0.05,0,0,0,9522
187,0.15,0,0,0,9522
188,0,0,0,0,9522
189,0,0,0,0,9522
190,0,0,1,0,9522
191,0,0,0,0,9522
192,0,0,0,0,9522
193,0,0,0,1,739
194,0,0,0,0,263
195,0,0,0,0,263
196,0.05,0,0,0,2.55E-122
197,0.05,0,0,0,1.42E-84
198,0.35,0,0,0,1.64E-55
199,0.35,0,0,0,2.43E-44
200,0.35,0,0,0,1.10E-09
201,0,0,0,0,327
202,0,6,0,0,433
203,0,14,0,0,3.73E-30
204,0,32,0,0,1.39E-73
205,0,0,0,0,435
206,0.05,0,0,0,435
207,0,0,0,0,956
208,0.05,0,0,0,956
209,0,0,0,0,956
210,0.05,0,0,0,956
211,0.05,2,0,0,2.12E-07
212,0,0,0,0,2.53E-26
213,0.15,0,0,0,3.26E-11
214,0.15,0,0,0,384
215,0,0,0,0,384
216,0,0,0,0,264
217,0.05,0,0,0,264
218,0.05,0,0,0,1.07E-14
219,0.05,0,0,0,1.23E-25
220,0,0,0,0,9.59E-43
221,0,1,0,0,1.17E-10
222,0,12,0,0,6.15E-31
223,0,12,0,0,3.07E-37
224,0.15,0,0,0,6.44E-83
225,0.35,0,0,0,1.73E-39
226,0.35,0,0,0,674
227,0,0,0,0,674
228,0,0,0,0,812
229,0,0,0,0,447
230,0,0,0,0,447
231,0.05,0,0,0,447
232,0.05,0,0,0,447
233,0,0,0,0,2.88E-14
234,0,23,0,0,2.60E-40
235,0,20,0,0,6.02E-20
236,0,4,0,0,0.174662654
237,0.05,0,0,0,203
238,0,0,0,0,203
239,0,0,1,0,617
240,0,0,0,0,49
241,0,0,0,0,49
242,0,0,0,0,261
243,0.05,0,0,0,261
244,0.05,3,0,0,261
245,0.05,3,0,0,18.19801853
246,0,5,0,0,2.67E-17
247,0.15,2,0,0,8.58E-63
248,0.35,2,0,0,1.43E-42
249,0.35,0,0,0,2.35E-09
250,0.15,0,0,0,9522
251,0,0,0,0,9522
252,0.15,0,0,0,9522
253,0.15,0,0,0,9522
254,0,0,0,0,9522
255,0,0,0,0,812
256,0,0,0,0,739
257,0,0,0,0,739
258,0,0,0,0,739
259,0,0,0,0,202
260,0.05,0,0,0,202
261,0.05,0,0,0,6.80E-32
262,0.15,2,0,0,3.71E-83
263,0.35,2,0,0,5.64E-40
264,0.35,0,0,0,0.008457874
265,0.15,0,0,0,9522
266,0,0,0,0,9522
267,0,0,0,0,812
268,0,0,0,0,812
269,0,0,0,0,812
270,0,0,0,0,202
271,0.05,0,0,0,330.9989673
272,0,0,0,0,7.49E-34
273,0,0,0,0,5.01E-82
274,0,0,0,0,2.27E-78
275,0,0,0,0,3.58E-66
276,0,0,0,0,414
277,0.05,0,0,0,0.000324857
278,0,0,0,0,1.24E-20
279,0.05,0,0,0,7.51E-47
