PUID,sg,trawl,sewage,farms,settle
215,0,0,0,0,384
216,0,0,0,0,264
217,0.05,0,0,0,264
218,0.05,0,0,0,6.059146369
219,0.05,0,0,0,0.488159193
220,0,0,0,0,0.009498136
221,0,1,0,0,4.411335112
222,0,12,0,0,0.041350771
223,0,12,0,0,0.052666098
224,0.15,0,0,0,2.12E-06
225,0.35,0,0,0,0.046734021
226,0.35,0,0,0,674
227,0,0,0,0,674
228,0,0,0,0,812
229,0,0,0,0,447
230,0,0,0,0,447
231,0.05,0,0,0,447
232,0.05,0,0,0,447
233,0,0,0,0,10.74693072
234,0,23,0,0,0.013128737
235,0,20,0,0,1.427865939
236,0,4,0,0,100.2227787
237,0.05,0,0,0,203
238,0,0,0,0,203
239,0,0,1,0,617
240,0,0,0,0,49
241,0,0,0,0,49
242,0,0,0,0,261
243,0.05,0,0,0,261
244,0.05,3,0,0,261
245,0.05,3,0,0,199.9764557
246,0,5,0,0,3.292887347
247,0.15,2,0,0,0.000218354
248,0.35,2,0,0,0.022971966
249,0.35,0,0,0,522.2511456
250,0.15,0,0,0,9522
251,0,0,0,0,9522
252,0.15,0,0,0,9522
253,0.15,0,0,0,9522
254,0,0,0,0,9522
255,0,0,0,0,812
256,0,0,0,0,739
257,0,0,0,0,739
258,0,0,0,0,739
259,0,0,0,0,202
260,0.05,0,0,0,202
261,0.05,0,0,0,0.090796931
262,0.15,2,0,0,2.01E-06
263,0.35,2,0,0,0.041772164
264,0.35,0,0,0,218.0318932
265,0.15,0,0,0,9522
266,0,0,0,0,9522
267,0,0,0,0,812
268,0,0,0,0,812
269,0,0,0,0,812
270,0,0,0,0,202
271,0.05,0,0,0,404.8395849
272,0,0,0,0,0.11034776
273,0,0,0,0,1.68E-06
274,0,0,0,0,1.30E-06
275,0,0,0,0,2.15E-05
276,0,0,0,0,414
277,0.05,0,0,0,101.5008152
278,0,0,0,0,2.314946393
279,0.05,0,0,0,0.005531987
280,0.05,0,0,0,0.003565934
281,0,0,0,0,0.47425603
282,0,0,0,0,0.643023534
283,0,0,0,0,0.142969872
284,0.15,1,0,0,1.08E-05
285,0.35,0,0,0,0.033913541
286,0.35,0,0,0,429.3739042
287,0,0,0,0,674
288,0,0,0,0,414
289,0.05,0,0,0,162.0331548
290,0.05,0,0,0,28.31274802
291,0.05,0,0,0,0.504251619
292,0.05,0,0,0,122
293,0.05,0,0,0,122
294,0.05,0,0,0,1.745948646
295,0,0,0,0,0.078425025
296,0,0,0,0,0.173788418
297,0,0,0,0,0.964289993
298,0,0,0,0,17.49020661
299,0,0,0,0,11.58830155
300,0,0,0,0,1.726991873
301,0,0,0,0,0.176228269
302,0,0,0,0,1.249679667
303,0,0,0,0,0.401950662
304,0,0,0,0,3.35E-09
305,0,0,0,0,3.45E-11
306,0,1,0,0,7.87E-07
307,0.15,0,0,0,0.006491329
308,0.15,0,0,0,13.35958492
309,0.15,0,0,0,493
310,0,0,0,0,493
311,0,0,0,0,414
312,0,0,0,0,414
313,0.05,0,0,0,216.2342591
314,0.05,0,0,0,81.96748037
315,0.05,0,0,0,122
316,0,0,0,0,122
317,0.05,0,0,0,133
318,0.05,0,0,0,150
319,0.05,0,0,0,150
320,0.05,0,0,0,306
321,0.05,0,0,0,306
322,0.05,0,0,0,306
323,0.05,0,0,0,209
324,0.05,0,0,0,209
325,0.05,0,0,0,209
326,0.05,0,0,0,209
327,0,0,0,0,0.08371716
328,0,0,0,0,158.0876187
329,0,0,0,0,158.2023609
330,0,0,0,0,6.0850154
331,0,0,0,0,77.07376722
332,0,0,0,0,23.70831934
333,0,0,0,0,0.670890717
334,0,1,0,0,0.139665683
335,0,1,0,0,0.001859053
336,0,0,0,0,0.000409556
337,0,0,0,0,2.69E-05
338,0,0,0,0,3.65E-07
339,0,4,0,0,1.26E-09
340,0.05,0,0,0,1.19E-05
341,0.15,0,0,0,0.139356163
342,0.15,0,0,0,471
343,0,0,0,0,493
344,0.05,0,0,0,209
345,0,2,0,0,0.275910498
346,0,12,0,0,0.517579
347,0,11,0,0,159.9247344
348,0.05,3,0,0,203
349,0,0,0,0,203
350,0,0,0,0,203
351,0,0,0,0,203
352,0,1,0,0,203
353,0,1,0,0,203
354,0,0,0,0,203
355,0.05,0,0,0,203
356,0,0,0,0,203
357,0,0,0,0,134
358,0,0,0,0,134
359,0.05,0,0,0,134
360,0,0,0,0,5.335523809
361,0,0,0,0,0.037247262
362,0,0,0,0,122
363,0,0,0,0,122
364,0,0,0,0,133
365,0.05,0,0,0,133
366,0,0,0,0,133
367,0,0,0,0,150
368,0,0,0,0,306
369,0,0,0,0,209
370,0.05,0,0,0,209
371,0,0,0,0,0.096833357
372,0,2,0,0,199.1724394
373,0,2,0,0,203
374,0.05,0,0,0,203
375,0,0,0,0,203
